day_time,temperature,precipitation_p,humidity,weather,cid
2022-01-15 12:00:00 (UTC),6.25,0.0,70,clear sky,0
2022-01-16 12:00:00 (UTC),7.95,0.1,86,overcast clouds,0
2022-01-17 12:00:00 (UTC),10.18,0.08,87,broken clouds,0
2022-01-18 12:00:00 (UTC),8.23,0.0,72,few clouds,0
2022-01-19 12:00:00 (UTC),7.63,0.0,76,scattered clouds,0
2022-01-20 12:00:00 (UTC),8.39,0.0,70,broken clouds,0
2022-01-21 12:00:00 (UTC),5.95,0.0,65,scattered clouds,0
2022-01-15 12:00:00 (UTC),6.48,0.0,82,clear sky,1
2022-01-16 12:00:00 (UTC),9.33,0.02,80,overcast clouds,1
2022-01-17 12:00:00 (UTC),9.8,0.04,86,clear sky,1
2022-01-18 12:00:00 (UTC),7.28,0.0,76,scattered clouds,1
2022-01-19 12:00:00 (UTC),8.11,0.0,75,few clouds,1
2022-01-20 12:00:00 (UTC),8.25,0.0,73,overcast clouds,1
2022-01-21 12:00:00 (UTC),6.06,0.0,64,overcast clouds,1
2022-01-15 12:00:00 (UTC),6.64,0.0,64,clear sky,2
2022-01-16 12:00:00 (UTC),9.13,0.66,85,light rain,2
2022-01-17 12:00:00 (UTC),10.05,0.07,79,clear sky,2
2022-01-18 12:00:00 (UTC),7.76,0.0,74,clear sky,2
2022-01-19 12:00:00 (UTC),8.17,0.0,77,broken clouds,2
2022-01-20 12:00:00 (UTC),7.34,0.0,67,scattered clouds,2
2022-01-21 12:00:00 (UTC),5.46,0.2,69,light rain,2
2022-01-15 12:00:00 (UTC),5.64,0.0,56,clear sky,3
2022-01-16 12:00:00 (UTC),8.49,0.68,87,moderate rain,3
2022-01-17 12:00:00 (UTC),8.4,0.0,75,clear sky,3
2022-01-18 12:00:00 (UTC),7.32,0.0,75,clear sky,3
2022-01-19 12:00:00 (UTC),6.34,0.0,76,scattered clouds,3
2022-01-20 12:00:00 (UTC),7.06,0.0,67,scattered clouds,3
2022-01-21 12:00:00 (UTC),6.03,0.0,65,broken clouds,3
2022-01-15 12:00:00 (UTC),6.54,0.0,53,clear sky,4
2022-01-16 12:00:00 (UTC),6.55,0.43,87,light rain,4
2022-01-17 12:00:00 (UTC),8.87,0.0,70,clear sky,4
2022-01-18 12:00:00 (UTC),7.66,0.0,73,clear sky,4
2022-01-19 12:00:00 (UTC),6.07,0.0,78,few clouds,4
2022-01-20 12:00:00 (UTC),7.17,0.2,70,light rain,4
2022-01-21 12:00:00 (UTC),5.12,0.23,81,light rain,4
2022-01-15 11:00:00 (UTC),5.47,0.0,71,scattered clouds,5
2022-01-16 12:00:00 (UTC),7.61,0.17,70,overcast clouds,5
2022-01-17 12:00:00 (UTC),7.68,0.15,67,clear sky,5
2022-01-18 12:00:00 (UTC),7.16,0.0,68,clear sky,5
2022-01-19 12:00:00 (UTC),5.05,0.0,72,broken clouds,5
2022-01-20 12:00:00 (UTC),6.56,0.0,64,overcast clouds,5
2022-01-21 12:00:00 (UTC),4.42,0.0,73,few clouds,5
2022-01-15 11:00:00 (UTC),6.13,0.0,74,scattered clouds,6
2022-01-16 12:00:00 (UTC),7.64,0.14,82,overcast clouds,6
2022-01-17 12:00:00 (UTC),8.3,0.0,78,clear sky,6
2022-01-18 12:00:00 (UTC),7.11,0.0,74,clear sky,6
2022-01-19 12:00:00 (UTC),5.31,0.0,77,broken clouds,6
2022-01-20 12:00:00 (UTC),6.79,0.2,69,rain and snow,6
2022-01-21 12:00:00 (UTC),5.8,0.33,75,light rain,6
2022-01-15 11:00:00 (UTC),5.61,0.0,64,few clouds,7
2022-01-16 11:00:00 (UTC),6.23,0.54,92,light rain,7
2022-01-17 11:00:00 (UTC),6.79,0.0,84,few clouds,7
2022-01-18 11:00:00 (UTC),6.76,0.0,74,clear sky,7
2022-01-19 11:00:00 (UTC),4.76,0.0,78,overcast clouds,7
2022-01-20 11:00:00 (UTC),5.96,0.4,67,rain and snow,7
2022-01-21 11:00:00 (UTC),6.47,0.4,65,rain and snow,7
2022-01-15 11:00:00 (UTC),3.56,0.0,71,clear sky,8
2022-01-16 11:00:00 (UTC),4.0,0.25,69,clear sky,8
2022-01-17 11:00:00 (UTC),4.03,0.37,82,overcast clouds,8
2022-01-18 11:00:00 (UTC),6.99,0.0,72,clear sky,8
2022-01-19 11:00:00 (UTC),6.08,0.0,64,scattered clouds,8
2022-01-20 11:00:00 (UTC),3.22,0.91,93,rain and snow,8
2022-01-21 11:00:00 (UTC),2.31,0.36,67,light snow,8
2022-01-15 11:00:00 (UTC),2.23,0.0,71,clear sky,9
2022-01-16 11:00:00 (UTC),2.28,0.37,63,light snow,9
2022-01-17 11:00:00 (UTC),1.62,0.38,85,light snow,9
2022-01-18 11:00:00 (UTC),3.82,0.0,75,clear sky,9
2022-01-19 11:00:00 (UTC),5.33,0.0,57,few clouds,9
2022-01-20 11:00:00 (UTC),0.43,0.84,95,light snow,9
2022-01-21 11:00:00 (UTC),-1.31,0.27,70,light snow,9
2022-01-15 11:00:00 (UTC),4.95,0.0,72,clear sky,10
2022-01-16 11:00:00 (UTC),5.47,0.15,64,clear sky,10
2022-01-17 11:00:00 (UTC),4.94,0.3,80,overcast clouds,10
2022-01-18 11:00:00 (UTC),6.69,0.0,74,clear sky,10
2022-01-19 11:00:00 (UTC),8.03,0.0,56,few clouds,10
2022-01-20 11:00:00 (UTC),4.32,0.78,83,rain and snow,10
2022-01-21 11:00:00 (UTC),1.7,0.4,70,broken clouds,10
2022-01-15 11:00:00 (UTC),5.3,0.0,71,clear sky,11
2022-01-16 11:00:00 (UTC),5.84,0.16,63,clear sky,11
2022-01-17 11:00:00 (UTC),5.22,0.29,80,overcast clouds,11
2022-01-18 11:00:00 (UTC),6.65,0.0,75,clear sky,11
2022-01-19 11:00:00 (UTC),8.48,0.0,55,few clouds,11
2022-01-20 11:00:00 (UTC),4.36,0.77,83,rain and snow,11
2022-01-21 11:00:00 (UTC),1.71,0.4,70,broken clouds,11
2022-01-15 11:00:00 (UTC),4.97,0.0,68,few clouds,12
2022-01-16 11:00:00 (UTC),3.88,0.0,66,clear sky,12
2022-01-17 11:00:00 (UTC),5.39,0.0,80,broken clouds,12
2022-01-18 11:00:00 (UTC),7.15,0.0,68,clear sky,12
