"cid","name","star","rating","rating_title","number_of_ratings","price","url","lat","lon"
0,"Le Relais Saint Michel","4 étoiles","7.8","Bien","1 910 expériences vécues","€ 78,32","https://www.booking.com/hotel/fr/le-relais-saint-michel.fr.html?sid=c17affa1402ef0976c5bc9a9b4c912ee","48.61758727","-1.51039615"
0,"Les Terrasses Poulard","3 étoiles","7.3","Bien","2 170 expériences vécues","€ 126,84","https://www.booking.com/hotel/fr/les-terrasses-poulard.fr.html?sid=c17affa1402ef0976c5bc9a9b4c912ee","48.63534943","-1.51037872"
0,"La Mère Poulard","3 étoiles","7.2","Bien","1 175 expériences vécues","€ 85,84","https://www.booking.com/hotel/fr/la-mere-poulard.fr.html?sid=c17affa1402ef0976c5bc9a9b4c912ee","48.63508532","-1.51053965"
0,"Hotel De La Digue","3 étoiles","7.1","Bien","2 093 expériences vécues","€ 77,84","https://www.booking.com/hotel/fr/de-la-digue.fr.html?sid=c17affa1402ef0976c5bc9a9b4c912ee","48.61688155","-1.51091784"
0,"Hôtel Vert","2 étoiles","8.1","Très bien","3 808 expériences vécues","€ 73,38","https://www.booking.com/hotel/fr/vert.fr.html?sid=c17affa1402ef0976c5bc9a9b4c912ee","48.61470049","-1.50961697"
0,"Mercure Mont Saint Michel","4 étoiles","8.2","Très bien","3 101 expériences vécues","€ 90,16","https://www.booking.com/hotel/fr/mont-saint-michel.fr.html?sid=c17affa1402ef0976c5bc9a9b4c912ee","48.61424653","-1.51054502"
0,"Le Mouton Blanc","3 étoiles","7.2","Bien","1 639 expériences vécues","€ 121,84","https://www.booking.com/hotel/fr/le-mouton-blanc-le-mont-saint-michel.fr.html?sid=c17affa1402ef0976c5bc9a9b4c912ee","48.63602298","-1.50989592"
0,"Hotel Gabriel","3 étoiles","8.1","Très bien","2 475 expériences vécues","","https://www.booking.com/hotel/fr/hotel-gabriel.fr.html?sid=c17affa1402ef0976c5bc9a9b4c912ee","48.61538141","-1.51070997"
0,"La Vieille Auberge","2 étoiles","7.4","Bien","1 195 expériences vécues","€ 172,38","https://www.booking.com/hotel/fr/la-vieille-auberge-le-mont-saint-michel.fr.html?sid=c17affa1402ef0976c5bc9a9b4c912ee","48.63606300","-1.51145700"
0,"Le Saint Aubert","3 étoiles","7.3","Bien","1 230 expériences vécues","","https://www.booking.com/hotel/fr/hotel-saint-aubert.fr.html?sid=c17affa1402ef0976c5bc9a9b4c912ee","48.61293783","-1.51010513"
1,"Kyriad Prestige Saint-Malo","3 étoiles","8.6","Superbe","3 265 expériences vécues","€ 75,15","https://www.booking.com/hotel/fr/kyriad-prestige-saint-malo-xml.fr.html?sid=46b2b94f90177f45a3b6c9b9b198e3bb","48.63609920","-1.98920667"
1,"Hotel De L'univers","3 étoiles","8.1","Très bien","2 128 expériences vécues","€ 63,35","https://www.booking.com/hotel/fr/de-l-univers.fr.html?sid=46b2b94f90177f45a3b6c9b9b198e3bb","48.65104101","-2.02372670"
1,"ibis budget Saint Malo Centre","2 étoiles","7.6","Bien","2 185 expériences vécues","€ 46,89","https://www.booking.com/hotel/fr/etap-saint-malo-centre.fr.html?sid=46b2b94f90177f45a3b6c9b9b198e3bb","48.63827265","-2.00941622"
1,"Escale Oceania Saint Malo","3 étoiles","8.2","Très bien","1 960 expériences vécues","€ 87,70","https://www.booking.com/hotel/fr/mascottesaintmalo.fr.html?sid=46b2b94f90177f45a3b6c9b9b198e3bb","48.65428009","-2.00883776"
1,"Oceania Saint Malo","4 étoiles","8.4","Très bien","1 992 expériences vécues","€ 125,10","https://www.booking.com/hotel/fr/oceaniasaintmalo.fr.html?sid=46b2b94f90177f45a3b6c9b9b198e3bb","48.65175689","-2.01843202"
1,"Golden Tulip Saint Malo– Le Grand Bé","4 étoiles","9","Fabuleux","1 694 expériences vécues","€ 118,15","https://www.booking.com/hotel/fr/golden-tulip-saint-malo.fr.html?sid=46b2b94f90177f45a3b6c9b9b198e3bb","48.64956907","-2.02686496"
1,"B&B Hôtel Saint-Malo Centre","2 étoiles","7.3","Bien","1 909 expériences vécues","€ 53,98","https://www.booking.com/hotel/fr/b-b-saint-malo.fr.html?sid=46b2b94f90177f45a3b6c9b9b198e3bb","48.63682324","-1.99040147"
1,"Hôtel de la Cité","3 étoiles","7.7","Bien","1 940 expériences vécues","€ 71,50","https://www.booking.com/hotel/fr/de-la-cite.fr.html?sid=46b2b94f90177f45a3b6c9b9b198e3bb","48.65130149","-2.02511072"
1,"Hotel Kyriad Saint Malo Centre Plage","3 étoiles","8","Très bien","1 994 expériences vécues","€ 67,70","https://www.booking.com/hotel/fr/bleumarinesaintmalo.fr.html?sid=46b2b94f90177f45a3b6c9b9b198e3bb","48.65538573","-2.00562447"
1,"Hôtel de France et Chateaubriand","3 étoiles","7.9","Bien","2 506 expériences vécues","€ 75,50","https://www.booking.com/hotel/fr/de-france-et-chateaubriand.fr.html?sid=46b2b94f90177f45a3b6c9b9b198e3bb","48.65119340","-2.02379644"
2,"Premiere Classe Bayeux","1 étoiles","7.7","Bien","2 365 expériences vécues","€ 37,70","https://www.booking.com/hotel/fr/premiere-classe-bayeux.fr.html?sid=56ae336b76c14d85e85491636f042126","49.26942872","-0.70668697"
